feature_id,region,district,township,ex_from,ex_to,kv_type,cable_type,vertex_count,actual_length_km,straight_line_km,detour_extra_km,sinuosity_index,detour_pct,classification,significant_detour
All_states_region_MVLine_tsp_level.1300,Mandalay,Pyinoolwin,Mogoke,,,,,5,5.553433,5.46499,0.088443,1.016184,1.6184,near_straight,False
All_states_region_MVLine_tsp_level.1301,Mandalay,Pyinoolwin,Pyinoolwin,21 mile,Nyaung-baw,,,2,1.746181,1.746181,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1302,Mandalay,Pyinoolwin,Pyinoolwin,,,,,2,1.179737,1.179737,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1303,Mandalay,Pyinoolwin,Pyinoolwin,,,,,2,0.400038,0.400038,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1304,Mandalay,Pyinoolwin,Pyinoolwin,,,,,2,4.545167,4.545167,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1305,Mandalay,Pyinoolwin,Pyinoolwin,,,,,2,2.25066,2.25066,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1306,Mandalay,Pyinoolwin,Pyinoolwin,,,,,5,7.756504,7.43984,0.316663,1.042563,4.2563,near_straight,False
All_states_region_MVLine_tsp_level.1307,Mandalay,Pyinoolwin,Pyinoolwin,,,,,3,4.122122,2.22839,1.893732,1.849821,84.9821,severe_detour,True
All_states_region_MVLine_tsp_level.1308,Mandalay,Pyinoolwin,Pyinoolwin,,,,,4,5.542023,5.419753,0.12227,1.02256,2.256,near_straight,False
All_states_region_MVLine_tsp_level.1309,Mandalay,Pyinoolwin,Pyinoolwin,,,,,5,11.922088,11.258199,0.663889,1.058969,5.8969,minor_detour,False
All_states_region_MVLine_tsp_level.1310,Mandalay,Pyinoolwin,Pyinoolwin,,,,,4,8.273492,7.801501,0.47199,1.0605,6.05,minor_detour,False
All_states_region_MVLine_tsp_level.1311,Mandalay,Pyinoolwin,Pyinoolwin,,,,,2,1.207819,1.207819,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1312,Mandalay,Pyinoolwin,Singu,,,,,5,21.861107,19.527276,2.333831,1.119516,11.9516,minor_detour,False
All_states_region_MVLine_tsp_level.1313,Mandalay,Pyinoolwin,Singu,,,,,4,8.785265,8.657752,0.127513,1.014728,1.4728,near_straight,False
All_states_region_MVLine_tsp_level.1314,Mandalay,Pyinoolwin,Singu,,,,,7,16.247119,15.251102,0.996018,1.065308,6.5308,minor_detour,False
All_states_region_MVLine_tsp_level.1315,Mandalay,Pyinoolwin,Singu,,,,,2,1.814966,1.814966,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1316,Mandalay,Pyinoolwin,Singu,,,,,4,7.144312,4.602021,2.542291,1.552429,55.2429,severe_detour,True
All_states_region_MVLine_tsp_level.1317,Mandalay,Pyinoolwin,Singu,,,,,3,2.218418,2.207894,0.010523,1.004766,0.4766,near_straight,False
All_states_region_MVLine_tsp_level.1318,Mandalay,Pyinoolwin,Thabeikkyin,,,,,6,26.97598,25.944788,1.031192,1.039746,3.9746,near_straight,False
All_states_region_MVLine_tsp_level.1319,Mandalay,Pyinoolwin,Thabeikkyin,,,,,4,14.525838,14.274116,0.251721,1.017635,1.7635,near_straight,False
All_states_region_MVLine_tsp_level.1320,Mandalay,Mandalay,Pyigyitagon,Takontaing,Wood Machine,,,2,1.555107,1.555107,0.0,1.0,0.0,near_straight,False
